ticker,date,open,high,low,close,volume,ticker,date,rsi,macd,sma,ema,atr,bb_upper,bb_middle,bb_lower
AAPL,2025-05-20,207.67,208.47,205.03,206.86,42496600,AAPL,2025-05-20,50.9125,0.6616,207.9322,208.2333,6.356,218.3768,206.9875,195.5982
AAPL,2025-05-19,207.91,209.48,204.26,208.78,46140500,AAPL,2025-05-19,51.9873,0.6951,206.6456,208.3341,6.668,218.395,206.586,194.777
AAPL,2025-05-16,212.36,212.57,209.77,211.26,54737900,AAPL,2025-05-16,54.7913,0.6309,205.5044,208.2227,6.6425,218.9238,205.805,192.6862
AAPL,2024-12-05,243.99,244.54,242.13,243.04,40033900,AAPL,2024-12-05,73.2285,3.7637,237.5944,238.2509,3.5549,244.253,231.6705,219.088
AAPL,2024-12-04,242.87,244.11,241.25,243.01,44383900,AAPL,2024-12-04,73.1946,3.4206,235.9811,237.0537,3.643,242.6695,230.6545,218.6395
AAPL,2024-12-03,239.81,242.76,238.9,242.65,38861000,AAPL,2024-12-03,72.8116,2.936,234.4244,235.5646,3.7032,240.6485,229.6765,218.7045
AAPL,2024-12-02,237.27,240.79,237.16,239.59,48137100,AAPL,2024-12-02,69.3557,2.3114,232.8278,233.7932,3.6912,238.351,228.6445,218.938
AAPL,2024-11-29,234.81,237.81,233.97,237.33,28481400,AAPL,2024-11-29,66.4292,1.7922,231.5422,232.344,3.6959,236.4158,227.8105,219.2053
AAPL,2024-11-27,234.47,235.69,233.81,234.93,33498400,AAPL,2024-11-27,62.9391,1.3335,230.1722,231.0975,3.6848,234.6789,227.2395,219.8001
AAPL,2024-11-26,233.33,235.57,233.33,235.06,45986200,AAPL,2024-11-26,63.27,0.973,229.4267,230.1394,3.8236,233.7002,226.998,220.2959
AAPL,2024-11-25,231.46,233.25,229.74,232.87,90152800,AAPL,2024-11-25,59.9792,0.4855,228.3222,228.9092,3.9101,233.3163,226.9285,220.5407
AAPL,2024-11-22,228.06,230.72,228.06,229.87,38168300,AAPL,2024-11-22,54.8317,0.0792,227.3622,227.9191,3.9408,233.4447,226.955,220.4653
AAPL,2024-11-21,228.88,230.16,225.71,228.52,42108300,AAPL,2024-11-21,52.2662,-0.1351,226.7356,227.4313,4.0394,233.6925,227.032,220.3715
